                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.002,                 4.0547,                 2.1019,                0.18147,                0.17728,                0.14783,                0.07164,                 2.1285,                 3.4254,                 2.4191,              4.287e-05,              4.287e-05,              4.287e-05
                      2,                  1.837,                 3.2181,                 1.9869,                0.62974,                0.67205,                0.63911,                0.31491,                 1.5727,                 8.2077,                 1.7196,              9.904e-05,              9.904e-05,              9.904e-05
                      3,                 1.5026,                 2.1307,                 1.5856,                0.44681,                0.67643,                0.60774,                0.38353,                 1.3242,                 4.0813,                 1.4423,             0.00015408,             0.00015408,             0.00015408
                      4,                 1.4027,                 1.6638,                 1.4782,                0.73414,                0.73872,                0.75146,                 0.4669,                 1.3372,                 2.6783,                 1.4389,             0.00020798,             0.00020798,             0.00020798
                      5,                  1.258,                 1.4465,                 1.3716,                0.75045,                0.74024,                0.74713,                 0.4637,                 1.3146,                 2.4581,                 1.5751,             0.00026076,             0.00026076,             0.00026076
                      6,                 1.2755,                 1.4524,                 1.4178,                0.65705,                0.74106,                0.67403,                0.43187,                 1.3034,                 2.7931,                  1.543,              0.0003124,              0.0003124,              0.0003124
                      7,                 1.2389,                 1.4159,                  1.367,                0.59873,                0.62997,                0.66123,                0.41448,                 1.4007,                 3.4044,                 1.5724,             0.00036291,             0.00036291,             0.00036291
                      8,                 1.1846,                 1.2573,                 1.2799,                0.39439,                0.70236,                0.61636,                0.35399,                 1.4072,                 7.0245,                 1.6499,             0.00041229,             0.00041229,             0.00041229
                      9,                 1.2769,                 1.3733,                 1.3647,                0.22628,                0.57643,                  0.434,                0.22432,                 1.5233,                 11.861,                 1.7507,             0.00046054,             0.00046054,             0.00046054
                     10,                 1.3776,                 1.4158,                 1.3874,                0.04177,                0.25758,                0.05858,                0.03872,                 1.3537,                 114.32,                 1.7967,             0.00050765,             0.00050765,             0.00050765
                     11,                 1.2863,                 1.3132,                 1.4115,                0.25916,                0.80168,                0.29037,                0.14317,                 1.4229,                    inf,                 2.1514,             0.00055364,             0.00055364,             0.00055364
